step,mean_vel_x,mean_abs_vx_error,p2_fault_active_mean,mean_abs_yaw_error,done_count,no_nan_inf
241,0.9563987255096436,0.16513784229755402,0.9921875,0.1550123393535614,0,True
242,0.9562686681747437,0.1619284301996231,0.9921875,0.15948136150836945,0,True
243,0.9517701268196106,0.16637574136257172,0.9921875,0.15707910060882568,0,True
244,0.9581326246261597,0.1683395355939865,0.9921875,0.18073993921279907,0,True
245,0.9535552263259888,0.16036802530288696,0.9921875,0.17760053277015686,0,True
246,0.9462981820106506,0.16482320427894592,0.9921875,0.15396970510482788,0,True
247,0.9531282782554626,0.1738094985485077,0.9921875,0.1667584776878357,0,True
248,0.962864100933075,0.16595931351184845,0.9921875,0.18125271797180176,0,True
249,0.9696148037910461,0.16850145161151886,0.9921875,0.19429120421409607,0,True
250,0.9699021577835083,0.17656119167804718,0.9921875,0.1648651510477066,0,True
251,0.9504251480102539,0.15985159575939178,0.9921875,0.1595737338066101,0,True
252,0.9339883923530579,0.15079069137573242,0.9921875,0.161245658993721,0,True
253,0.945629358291626,0.15771988034248352,0.9921875,0.17098486423492432,0,True
254,0.9577240943908691,0.15404683351516724,0.9921875,0.18247206509113312,0,True
255,0.9570246934890747,0.15750499069690704,0.9921875,0.18978917598724365,0,True
256,0.9510092735290527,0.15228764712810516,0.9921875,0.16398020088672638,0,True
257,0.9629141092300415,0.17713579535484314,0.9921875,0.1436484158039093,0,True
258,0.9701517224311829,0.18314078450202942,0.9921875,0.14758139848709106,0,True
259,0.9657046794891357,0.1592089831829071,0.9921875,0.17032082378864288,0,True
260,0.964540958404541,0.17735300958156586,0.9921875,0.13340209424495697,0,True
261,0.9655388593673706,0.17126545310020447,0.9921875,0.1676599234342575,0,True
262,0.9625810980796814,0.1627461314201355,0.9921875,0.19148054718971252,0,True
263,0.9516221284866333,0.14903493225574493,0.9921875,0.20496800541877747,0,True
264,0.9506333470344543,0.16095268726348877,0.9921875,0.1662626564502716,0,True
265,0.9572901129722595,0.1592024564743042,0.9921875,0.16546639800071716,0,True
266,0.9709247946739197,0.1538027822971344,0.9921875,0.17996837198734283,0,True
267,0.9618293046951294,0.15081682801246643,0.9921875,0.15789860486984253,0,True
268,0.9541918039321899,0.1713140904903412,0.9921875,0.13329210877418518,0,True
269,0.9627243876457214,0.16575349867343903,0.9921875,0.14281690120697021,0,True
270,0.9695033431053162,0.18333226442337036,0.9921875,0.15621766448020935,0,True
271,0.9626410007476807,0.18281292915344238,0.9921875,0.16187407076358795,0,True
272,0.9400596022605896,0.17061132192611694,0.9921875,0.1398891806602478,0,True
273,0.9344366788864136,0.16887220740318298,0.9921875,0.17392264306545258,0,True
274,0.9470784664154053,0.16594278812408447,0.9921875,0.18891490995883942,0,True
275,0.9509301781654358,0.1639406532049179,0.9921875,0.18800392746925354,0,True
276,0.9546953439712524,0.15537850558757782,0.9921875,0.15707619488239288,0,True
277,0.9620739817619324,0.1624145805835724,0.9921875,0.1664292812347412,0,True
278,0.9607070684432983,0.15639474987983704,0.9921875,0.15841782093048096,0,True
279,0.9607061743736267,0.15266075730323792,0.9921875,0.14885053038597107,0,True
280,0.9693125486373901,0.16131919622421265,0.9921875,0.15713825821876526,0,True
281,0.9707467555999756,0.1663760095834732,0.9921875,0.1356370449066162,0,True
282,0.9625276327133179,0.15898367762565613,0.9921875,0.15864801406860352,0,True
283,0.9493919610977173,0.16388548910617828,1.0,0.1602407991886139,0,True
284,0.9394643902778625,0.1599179357290268,1.0,0.16430842876434326,0,True
285,0.9434172511100769,0.16323921084403992,1.0,0.1905864179134369,0,True
286,0.9417754411697388,0.1675059199333191,1.0,0.17039692401885986,0,True
287,0.9473927021026611,0.1613909900188446,1.0,0.18047963082790375,0,True
288,0.9523266553878784,0.16735470294952393,1.0,0.1737568974494934,0,True
289,0.948868453502655,0.166861891746521,1.0,0.14752477407455444,0,True
290,0.9438977837562561,0.17472714185714722,1.0,0.14289650321006775,0,True
291,0.948965311050415,0.16439026594161987,1.0,0.16948169469833374,0,True
292,0.9479857683181763,0.1716223657131195,1.0,0.18219755589962006,0,True
293,0.9554122686386108,0.1686221957206726,1.0,0.18225780129432678,0,True
294,0.9559823274612427,0.16047073900699615,1.0,0.17783939838409424,0,True
