source_root,velocity_mode,protocol,policy,alpha,selected_fault_joint_index,joint_name,mean_abs_vx_error_post_fault,p90_abs_vx_error_post_fault,torso_height_failure_rate,timeout_rate,post_fault_sample_count,post_fault_alive_sample_fraction,post_fault_done_sample_rate
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,1,0,front_left_leg,0.10768365751876276,0.21128952503204346,,,7829,0.997317665,0.00268233491
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,1,1,front_right_leg,0.1446748427768984,0.30596748590469364,,,5607,0.997859818,0.00214018192
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,1,2,left_back_leg,0.14141335507407327,0.3329411149024966,,,7792,0.997561602,0.00243839836
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,1,3,right_back_leg,0.15222545557122394,0.35141751170158386,,,6846,0.998101081,0.00189891908
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,1,4,front_left_foot,0.5341333657547327,1.0015983104705812,,,7417,0.998382095,0.00161790481
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,1,5,front_right_foot,0.3019419382257889,0.7288095951080323,,,10754,0.998884136,0.00111586386
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,1,6,left_back_foot,0.2627388135445352,0.4719633996486667,,,9258,0.999027868,0.00097213221
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a5,1,7,right_back_foot,0.5481377715014821,1.7999395847320556,,,5983,0.997325756,0.00267424369
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,realistic_random,a2_history,,0,front_left_leg,0.35555925812493683,0.7287384152412415,,,9010,0.998335183,0.00166481687
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,realistic_random,a2_history,,1,front_right_leg,0.29505039293434104,0.5986607909202576,,,6278,0.998407136,0.00159286397
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,realistic_random,a2_history,,2,left_back_leg,0.4943163359085009,0.9150087833404541,,,9961,0.997992169,0.00200783054
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,realistic_random,a2_history,,3,right_back_leg,0.6571634426171732,1.4339775919914244,,,8094,0.998270324,0.0017296763
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,realistic_random,a2_history,,4,front_left_foot,0.779106416940689,1.0756022691726685,,,8500,0.998705882,0.00129411765
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,realistic_random,a2_history,,5,front_right_foot,0.24584386169974518,0.6080429553985596,,,12091,0.998676702,0.00132329832
